text,phonemes,soundex
The big black bug's blood ran blue.,"[['DH', 'AH0'], ['B', 'IH1', 'G'], ['B', 'L', 'AE1', 'K'], ['B', 'AH1', 'G', 'Z'], ['B', 'L', 'AH1', 'D'], ['R', 'AE1', 'N'], ['B', 'L', 'UW1']]","['T000', 'B200', 'B420', 'B200', 'B430', 'R500', 'B400']"
"I am not the pheasant plucker, I'm the pheasant plucker's mate. I am only plucking pheasants 'cause the pheasant plucker's late.","[['AY1'], ['AE1', 'M'], ['N', 'AA1', 'T'], ['DH', 'AH0'], ['F', 'EH1', 'Z', 'AH0', 'N', 'T'], ['P', 'L', 'AH1', 'K', 'ER0'], ['IH1', 'M'], ['DH', 'AH0'], ['F', 'EH1', 'Z', 'AH0', 'N', 'T'], ['P', 'L', 'AH1', 'K', 'ER0', 'Z'], ['M', 'EY1', 'T'], ['AY1'], ['AE1', 'M'], ['OW1', 'N', 'L', 'IY0'], ['P', 'L', 'AH1', 'K', 'IH0', 'NG'], ['F', 'EH1', 'Z', 'AH0', 'N', 'T', 'S'], ['K', 'AA1', 'Z'], ['DH', 'AH0'], ['F', 'EH1', 'Z', 'AH0', 'N', 'T'], ['P', 'L', 'AH1', 'K', 'ER0', 'Z'], ['L', 'EY1', 'T']]","['I000', 'A500', 'N300', 'T000', 'P253', 'P426', 'I500', 'T000', 'P253', 'P426', 'M300', 'I000', 'A500', 'O540', 'P425', 'P253', 'C200', 'T000', 'P253', 'P426', 'L300']"
"Ed Nott was shot and Sam Shott was not. So it is better to be Shott than Nott. Some say Nott was not shot. But Shott says he shot Nott. Either the shot Shott shot at Nott was not shot, or Nott was shot. If the shot Shott shot shot Nott, Nott was shot. But if the shot Shott shot shot Shott, the shot was Shott, not Nott. However, the shot Shott shot shot not Shott - but Nott. So, Ed Nott was shot and that's hot! Is it not?","[['EH1', 'D'], ['N', 'AA1', 'T'], ['W', 'AA1', 'Z'], ['SH', 'AA1', 'T'], ['AH0', 'N', 'D'], ['S', 'AE1', 'M'], ['SH', 'AA1', 'T'], ['W', 'AA1', 'Z'], ['N', 'AA1', 'T'], ['S', 'OW1'], ['IH1', 'T'], ['IH1', 'Z'], ['B', 'EH1', 'T', 'ER0'], ['T', 'UW1'], ['B', 'IY1'], ['SH', 'AA1', 'T'], ['DH', 'AE1', 'N'], ['N', 'AA1', 'T'], ['S', 'AH1', 'M'], ['S', 'EY1'], ['N', 'AA1', 'T'], ['W', 'AA1', 'Z'], ['N', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['B', 'AH1', 'T'], ['SH', 'AA1', 'T'], ['S', 'EH1', 'Z'], ['HH', 'IY1'], ['SH', 'AA1', 'T'], ['N', 'AA1', 'T'], ['IY1', 'DH', 'ER0'], ['DH', 'AH0'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['AE1', 'T'], ['N', 'AA1', 'T'], ['W', 'AA1', 'Z'], ['N', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['AO1', 'R'], ['N', 'AA1', 'T'], ['W', 'AA1', 'Z'], ['SH', 'AA1', 'T'], ['IH1', 'F'], ['DH', 'AH0'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['N', 'AA1', 'T'], ['N', 'AA1', 'T'], ['W', 'AA1', 'Z'], ['SH', 'AA1', 'T'], ['B', 'AH1', 'T'], ['IH1', 'F'], ['DH', 'AH0'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['DH', 'AH0'], ['SH', 'AA1', 'T'], ['W', 'AA1', 'Z'], ['SH', 'AA1', 'T'], ['N', 'AA1', 'T'], ['N', 'AA1', 'T'], ['HH', 'AW2', 'EH1', 'V', 'ER0'], ['DH', 'AH0'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['SH', 'AA1', 'T'], ['N', 'AA1', 'T'], ['SH', 'AA1', 'T'], [], ['B', 'AH1', 'T'], ['N', 'AA1', 'T'], ['S', 'OW1'], ['EH1', 'D'], ['N', 'AA1', 'T'], ['W', 'AA1', 'Z'], ['SH', 'AA1', 'T'], ['AH0', 'N', 'D'], ['TH', 'AE1', 'T', 'S'], ['HH', 'AA1', 'T'], ['IH1', 'Z'], ['IH1', 'T'], ['N', 'AA1', 'T']]","['E300', 'N300', 'W200', 'S300', 'A530', 'S500', 'S300', 'W200', 'N300', 'S000', 'I300', 'I200', 'B360', 'T000', 'B000', 'S300', 'T500', 'N300', 'S500', 'S000', 'N300', 'W200', 'N300', 'S300', 'B300', 'S300', 'S200', 'H000', 'S300', 'N300', 'E360', 'T000', 'S300', 'S300', 'S300', 'A300', 'N300', 'W200', 'N300', 'S300', 'O600', 'N300', 'W200', 'S300', 'I100', 'T000', 'S300', 'S300', 'S300', 'S300', 'N300', 'N300', 'W200', 'S300', 'B300', 'I100', 'T000', 'S300', 'S300', 'S300', 'S300', 'S300', 'T000', 'S300', 'W200', 'S300', 'N300', 'N300', 'H160', 'T000', 'S300', 'S300', 'S300', 'S300', 'N300', 'S300', 'B300', 'N300', 'S000', 'E300', 'N300', 'W200', 'S300', 'A530', 'T320', 'H300', 'I200', 'I300', 'N300']"
"We will learn why her lowly lone, worn yarn loom will rarely earn immoral money.","[['W', 'IY1'], ['W', 'IH1', 'L'], ['L', 'ER1', 'N'], ['W', 'AY1'], ['HH', 'ER0'], ['L', 'OW1', 'L', 'IY0'], ['L', 'OW1', 'N'], ['W', 'AO1', 'R', 'N'], ['Y', 'AA1', 'R', 'N'], ['L', 'UW1', 'M'], ['W', 'IH1', 'L'], ['R', 'EH1', 'R', 'L', 'IY0'], ['ER1', 'N'], ['IH0', 'M', 'AO1', 'R', 'AH0', 'L'], ['M', 'AH1', 'N', 'IY0']]","['W000', 'W400', 'L650', 'W000', 'H600', 'L400', 'L500', 'W650', 'Y650', 'L500', 'W400', 'R640', 'E650', 'I564', 'M500']"
"Unique New York, unique New York, unique New York, ...","[['Y', 'UW0', 'N', 'IY1', 'K'], ['N', 'UW1'], ['Y', 'AO1', 'R', 'K'], ['Y', 'UW0', 'N', 'IY1', 'K'], ['N', 'UW1'], ['Y', 'AO1', 'R', 'K'], ['Y', 'UW0', 'N', 'IY1', 'K'], ['N', 'UW1'], ['Y', 'AO1', 'R', 'K'], []]","['U520', 'N000', 'Y620', 'U520', 'N000', 'Y620', 'U520', 'N000', 'Y620']"
If Dr. Seuss Were a Technical Writer.....,"[['IH1', 'F'], ['D', 'R', 'AY1', 'V'], ['S', 'UW1', 'S'], ['W', 'ER0'], ['AH0'], ['T', 'EH1', 'K', 'N', 'IH0', 'K', 'AH0', 'L'], ['R', 'AY1', 'T', 'ER0']]","['I100', 'D600', 'S200', 'W600', 'A000', 'T252', 'W636']"
Picky people pick Peter Pan Peanut Butter. Peter Pan Peanut is the peanut picky people pick.,"[['P', 'IH1', 'K', 'IY0'], ['P', 'IY1', 'P', 'AH0', 'L'], ['P', 'IH1', 'K'], ['P', 'IY1', 'T', 'ER0'], ['P', 'AE1', 'N'], ['P', 'IY1', 'N', 'AH0', 'T'], ['B', 'AH1', 'T', 'ER0'], ['P', 'IY1', 'T', 'ER0'], ['P', 'AE1', 'N'], ['P', 'IY1', 'N', 'AH0', 'T'], ['IH1', 'Z'], ['DH', 'AH0'], ['P', 'IY1', 'N', 'AH0', 'T'], ['P', 'IH1', 'K', 'IY0'], ['P', 'IY1', 'P', 'AH0', 'L'], ['P', 'IH1', 'K']]","['P200', 'P140', 'P200', 'P360', 'P500', 'P530', 'B360', 'P360', 'P500', 'P530', 'I200', 'T000', 'P530', 'P200', 'P140', 'P200']"
Ray Rag ran across a rough road. Across a rough road Ray Rag ran. Where is the rough road Ray Rag ran across?,"[['R', 'EY1'], ['R', 'AE1', 'G'], ['R', 'AE1', 'N'], ['AH0', 'K', 'R', 'AO1', 'S'], ['AH0'], ['R', 'AH1', 'F'], ['R', 'OW1', 'D'], ['AH0', 'K', 'R', 'AO1', 'S'], ['AH0'], ['R', 'AH1', 'F'], ['R', 'OW1', 'D'], ['R', 'EY1'], ['R', 'AE1', 'G'], ['R', 'AE1', 'N'], ['W', 'EH1', 'R'], ['IH1', 'Z'], ['DH', 'AH0'], ['R', 'AH1', 'F'], ['R', 'OW1', 'D'], ['R', 'EY1'], ['R', 'AE1', 'G'], ['R', 'AE1', 'N'], ['AH0', 'K', 'R', 'AO1', 'S']]","['R000', 'R200', 'R500', 'A262', 'A000', 'R200', 'R300', 'A262', 'A000', 'R200', 'R300', 'R000', 'R200', 'R500', 'W600', 'I200', 'T000', 'R200', 'R300', 'R000', 'R200', 'R500', 'A262']"
Elmer Arnold,"[['EH1', 'L', 'M', 'ER0'], ['AA1', 'R', 'N', 'AH0', 'L', 'D']]","['E456', 'A654']"
"A Tudor who tooted the flute tried to tutor two tooters to toot. Said the two to the tutor, Is it harder to toot or to tutor two tooters to toot?""""","[['AH0'], ['T', 'UW1', 'D', 'ER0'], ['HH', 'UW1'], ['T', 'UW1', 'T', 'IH0', 'D'], ['DH', 'AH0'], ['F', 'L', 'UW1', 'T'], ['T', 'R', 'AY1', 'D'], ['T', 'UW1'], ['T', 'UW1', 'T', 'ER0'], ['T', 'UW1'], ['T', 'UW1', 'T', 'ER0', 'Z'], ['T', 'UW1'], ['T', 'UW1', 'T'], ['S', 'EH1', 'D'], ['DH', 'AH0'], ['T', 'UW1'], ['T', 'UW1'], ['DH', 'AH0'], ['T', 'UW1', 'T', 'ER0'], ['IH1', 'Z'], ['IH1', 'T'], ['HH', 'AA1', 'R', 'D', 'ER0'], ['T', 'UW1'], ['T', 'UW1', 'T'], ['AO1', 'R'], ['T', 'UW1'], ['T', 'UW1', 'T', 'ER0'], ['T', 'UW1'], ['T', 'UW1', 'T', 'ER0', 'Z'], ['T', 'UW1'], ['T', 'UW1', 'T']]","['A000', 'T360', 'W000', 'T330', 'T000', 'F430', 'T630', 'T000', 'T360', 'T000', 'T362', 'T000', 'T300', 'S300', 'T000', 'T000', 'T000', 'T000', 'T360', 'I200', 'I300', 'H636', 'T000', 'T300', 'O600', 'T000', 'T360', 'T000', 'T362', 'T000', 'T300']"
"Mrs Puggy Wuggy has a square cut punt. Not a punt cut square, Just a square cut punt. It's round in the stern and blunt in the front. Mrs Puggy Wuggy has a square cut punt.","[['M', 'IH1', 'S', 'IH0', 'Z'], ['P', 'AH1', 'G', 'IY0'], ['W', 'AH1', 'G', 'IY0'], ['HH', 'AE1', 'Z'], ['AH0'], ['S', 'K', 'W', 'EH1', 'R'], ['K', 'AH1', 'T'], ['P', 'AH1', 'N', 'T'], ['N', 'AA1', 'T'], ['AH0'], ['P', 'AH1', 'N', 'T'], ['K', 'AH1', 'T'], ['S', 'K', 'W', 'EH1', 'R'], ['JH', 'AH1', 'S', 'T'], ['AH0'], ['S', 'K', 'W', 'EH1', 'R'], ['K', 'AH1', 'T'], ['P', 'AH1', 'N', 'T'], ['IH1', 'T', 'S'], ['R', 'AW1', 'N', 'D'], ['IH0', 'N'], ['DH', 'AH0'], ['S', 'T', 'ER1', 'N'], ['AH0', 'N', 'D'], ['B', 'L', 'AH1', 'N', 'T'], ['IH0', 'N'], ['DH', 'AH0'], ['F', 'R', 'AH1', 'N', 'T'], ['M', 'IH1', 'S', 'IH0', 'Z'], ['P', 'AH1', 'G', 'IY0'], ['W', 'AH1', 'G', 'IY0'], ['HH', 'AE1', 'Z'], ['AH0'], ['S', 'K', 'W', 'EH1', 'R'], ['K', 'AH1', 'T'], ['P', 'AH1', 'N', 'T']]","['M620', 'P200', 'W200', 'H200', 'A000', 'S260', 'C300', 'P530', 'N300', 'A000', 'P530', 'C300', 'S260', 'J230', 'A000', 'S260', 'C300', 'P530', 'I320', 'R530', 'I500', 'T000', 'S365', 'A530', 'B453', 'I500', 'T000', 'F653', 'M620', 'P200', 'W200', 'H200', 'A000', 'S260', 'C300', 'P530']"
"Tim, the thin twin tinsmith.","[['T', 'IH1', 'M'], ['DH', 'AH0'], ['TH', 'IH1', 'N'], ['T', 'W', 'IH1', 'N'], ['T', 'IH1', 'N', 'S', 'M', 'IH0', 'TH']]","['T500', 'T000', 'T500', 'T500', 'T525']"
"Thin sticks, thick bricks","[['TH', 'IH1', 'N'], ['S', 'T', 'IH1', 'K', 'S'], ['TH', 'IH1', 'K'], ['B', 'R', 'IH1', 'K', 'S']]","['T500', 'S320', 'T200', 'B620']"
"Red lorry, yellow lorry.","[['R', 'EH1', 'D'], ['L', 'AO1', 'R', 'IY0'], ['Y', 'EH1', 'L', 'OW0'], ['L', 'AO1', 'R', 'IY0']]","['R300', 'L600', 'Y400', 'L600']"
A big black bug bit a big black bear and made the big black bear bleed blood.,"[['AH0'], ['B', 'IH1', 'G'], ['B', 'L', 'AE1', 'K'], ['B', 'AH1', 'G'], ['B', 'IH1', 'T'], ['AH0'], ['B', 'IH1', 'G'], ['B', 'L', 'AE1', 'K'], ['B', 'EH1', 'R'], ['AH0', 'N', 'D'], ['M', 'EY1', 'D'], ['DH', 'AH0'], ['B', 'IH1', 'G'], ['B', 'L', 'AE1', 'K'], ['B', 'EH1', 'R'], ['B', 'L', 'IY1', 'D'], ['B', 'L', 'AH1', 'D']]","['A000', 'B200', 'B420', 'B200', 'B300', 'A000', 'B200', 'B420', 'B600', 'A530', 'M300', 'T000', 'B200', 'B420', 'B600', 'B430', 'B430']"
How much wood would a woodchuck chuck if a woodchuck would  chuck wood? A woodchuck would chuck how much a woodchuck would chuck if a  woodchuck would chuck wood.,"[['HH', 'AW1'], ['M', 'AH1', 'CH'], ['W', 'UH1', 'D'], ['W', 'UH1', 'D'], ['AH0'], ['W', 'UH1', 'D', 'CH', 'AH2', 'K'], ['CH', 'AH1', 'K'], ['IH1', 'F'], ['AH0'], ['W', 'UH1', 'D', 'CH', 'AH2', 'K'], ['W', 'UH1', 'D'], [], ['CH', 'AH1', 'K'], ['W', 'UH1', 'D'], ['AH0'], ['W', 'UH1', 'D', 'CH', 'AH2', 'K'], ['W', 'UH1', 'D'], ['CH', 'AH1', 'K'], ['HH', 'AW1'], ['M', 'AH1', 'CH'], ['AH0'], ['W', 'UH1', 'D', 'CH', 'AH2', 'K'], ['W', 'UH1', 'D'], ['CH', 'AH1', 'K'], ['IH1', 'F'], ['AH0'], [], ['W', 'UH1', 'D', 'CH', 'AH2', 'K'], ['W', 'UH1', 'D'], ['CH', 'AH1', 'K'], ['W', 'UH1', 'D']]","['H000', 'M200', 'W300', 'W430', 'A000', 'W322', 'C200', 'I100', 'A000', 'W322', 'W430', 'C200', 'W300', 'A000', 'W322', 'W430', 'C200', 'H000', 'M200', 'A000', 'W322', 'W430', 'C200', 'I100', 'A000', 'W322', 'W430', 'C200', 'W300']"
"Larry Hurley, a burly squirrel hurler, hurled a furry squirrel through a curly grill.","[['L', 'EH1', 'R', 'IY0'], ['HH', 'ER1', 'L', 'IY0'], ['AH0'], ['B', 'ER1', 'L', 'IY0'], ['S', 'K', 'W', 'ER1', 'AH0', 'L'], ['HH', 'ER1', 'L', 'ER0'], ['HH', 'ER1', 'L', 'D'], ['AH0'], ['F', 'ER1', 'IY0'], ['S', 'K', 'W', 'ER1', 'AH0', 'L'], ['TH', 'R', 'UW1'], ['AH0'], ['K', 'ER1', 'L', 'IY0'], ['G', 'R', 'IH1', 'L']]","['L600', 'H640', 'A000', 'B640', 'S264', 'H646', 'H643', 'A000', 'F600', 'S264', 'T620', 'A000', 'C640', 'G640']"
Six twin screwed steel steam cruisers.,"[['S', 'IH1', 'K', 'S'], ['T', 'W', 'IH1', 'N'], ['S', 'K', 'R', 'UW1', 'D'], ['S', 'T', 'IY1', 'L'], ['S', 'T', 'IY1', 'M'], ['K', 'R', 'UW1', 'Z', 'ER0', 'Z']]","['S200', 'T500', 'S263', 'S340', 'S350', 'C626']"
A nurse anesthetist unearthed a nest.,"[['AH0'], ['N', 'ER1', 'S'], ['AH0', 'N', 'EH1', 'S', 'TH', 'AH0', 'T', 'AH0', 'S', 'T'], ['AH0', 'N', 'ER1', 'TH', 'T'], ['AH0'], ['N', 'EH1', 'S', 'T']]","['A000', 'N620', 'A523', 'U563', 'A000', 'N230']"
"I thought a thought. But the thought I thought Wasn't the thought I thought I thought. If the thought I thought I thought,Had been the thought I thought, I wouldn't have thought I thought.","[['AY1'], ['TH', 'AO1', 'T'], ['AH0'], ['TH', 'AO1', 'T'], ['B', 'AH1', 'T'], ['DH', 'AH0'], ['TH', 'AO1', 'T'], ['AY1'], ['TH', 'AO1', 'T'], ['W', 'AO1', 'S', 'T'], ['DH', 'AH0'], ['TH', 'AO1', 'T'], ['AY1'], ['TH', 'AO1', 'T'], ['AY1'], ['TH', 'AO1', 'T'], ['IH1', 'F'], ['DH', 'AH0'], ['TH', 'AO1', 'T'], ['AY1'], ['TH', 'AO1', 'T'], ['AY1'], ['TH', 'AW1', 'TH', 'AH0', 'D'], ['B', 'IH1', 'N'], ['DH', 'AH0'], ['TH', 'AO1', 'T'], ['AY1'], ['TH', 'AO1', 'T'], ['AY1'], ['W', 'UH1', 'D', 'L', 'AH0', 'N', 'T'], ['HH', 'AE1', 'V'], ['TH', 'AO1', 'T'], ['AY1'], ['TH', 'AO1', 'T']]","['I000', 'T230', 'A000', 'T230', 'B300', 'T000', 'T230', 'I000', 'T230', 'W253', 'T000', 'T230', 'I000', 'T230', 'I000', 'T230', 'I100', 'T000', 'T230', 'I000', 'T230', 'I000', 'T233', 'B500', 'T000', 'T230', 'I000', 'T230', 'I000', 'W435', 'H100', 'T230', 'I000', 'T230']"
She sells sea shells on the seashore. The seashells she sells are seashells she is sure.,"[['SH', 'IY1'], ['S', 'EH1', 'L', 'Z'], ['S', 'IY1'], ['SH', 'EH1', 'L', 'Z'], ['AA1', 'N'], ['DH', 'AH0'], ['S', 'IY1', 'SH', 'AO2', 'R'], ['DH', 'AH0'], ['S', 'IY1', 'SH', 'EH2', 'L', 'Z'], ['SH', 'IY1'], ['S', 'EH1', 'L', 'Z'], ['AA1', 'R'], ['S', 'IY1', 'SH', 'EH2', 'L', 'Z'], ['SH', 'IY1'], ['IH1', 'Z'], ['SH', 'UH1', 'R']]","['S000', 'S420', 'S000', 'S420', 'O500', 'T000', 'S260', 'T000', 'S242', 'S000', 'S420', 'A600', 'S242', 'S000', 'I200', 'S600']"
From the programmer's desk: She sells cshs by the C shore.,"[['F', 'R', 'AH1', 'M'], ['DH', 'AH0'], ['P', 'R', 'OW1', 'G', 'R', 'AE2', 'M', 'ER0', 'Z'], ['D', 'EH1', 'S', 'K'], ['SH', 'IY1'], ['S', 'EH1', 'L', 'Z'], ['SH', 'IY1', 'Z'], ['B', 'AY1'], ['DH', 'AH0'], ['S', 'IY1'], ['SH', 'AO1', 'R']]","['F650', 'T000', 'P626', 'D200', 'S000', 'S420', 'C200', 'B000', 'T000', 'C000', 'S600']"
"A noise annoys an oyster, but a noisy noise annoys an oyster more!","[['AH0'], ['N', 'OY1', 'Z'], ['AH0', 'N', 'OY1', 'Z'], ['AE1', 'N'], ['OY1', 'S', 'T', 'ER0'], ['B', 'AH1', 'T'], ['AH0'], ['N', 'OY1', 'Z', 'IY0'], ['N', 'OY1', 'Z'], ['AH0', 'N', 'OY1', 'Z'], ['AE1', 'N'], ['OY1', 'S', 'T', 'ER0'], ['M', 'AO1', 'R']]","['A000', 'N200', 'A520', 'A500', 'O236', 'B300', 'A000', 'N200', 'N200', 'A520', 'A500', 'O236', 'M600']"
"Plain bun, plum bun, bun without plum.","[['P', 'L', 'EY1', 'N'], ['B', 'AH1', 'N'], ['P', 'L', 'AH1', 'M'], ['B', 'AH1', 'N'], ['B', 'AH1', 'N'], ['W', 'IH0', 'TH', 'AW1', 'T'], ['P', 'L', 'AH1', 'M']]","['P450', 'B500', 'P450', 'B500', 'B500', 'W330', 'P450']"
Slick slim slippers sliding south.,"[['S', 'L', 'IH1', 'K'], ['S', 'L', 'IH1', 'M'], ['S', 'L', 'IH1', 'P', 'ER0', 'Z'], ['S', 'L', 'AY1', 'D', 'IH0', 'NG'], ['S', 'AW1', 'TH']]","['S420', 'S450', 'S416', 'S435', 'S300']"
"The Leith police dismisseth us They thought we sought to stay;  The Leith police dismisseth us They thought we'd stay all day. The Leith police dismisseth us, We both sighed sighs apiece;  And the sighs that we sighed as we said goodbye Were the size of the Leith police.","[['DH', 'AH0'], ['L', 'IY1', 'TH'], ['P', 'AH0', 'L', 'IY1', 'S'], ['D', 'IH0', 'S', 'M', 'IH1', 'S', 'AH0', 'T'], ['AH1', 'S'], ['DH', 'EY1'], ['TH', 'AO1', 'T'], ['W', 'IY1'], ['S', 'AO1', 'T'], ['T', 'UW1'], ['S', 'T', 'EY1'], [], ['DH', 'AH0'], ['L', 'IY1', 'TH'], ['P', 'AH0', 'L', 'IY1', 'S'], ['D', 'IH0', 'S', 'M', 'IH1', 'S', 'AH0', 'T'], ['AH1', 'S'], ['DH', 'EY1'], ['TH', 'AO1', 'T'], ['W', 'EH1', 'D'], ['S', 'T', 'EY1'], ['AO1', 'L'], ['D', 'EY1'], ['DH', 'AH0'], ['L', 'IY1', 'TH'], ['P', 'AH0', 'L', 'IY1', 'S'], ['D', 'IH0', 'S', 'M', 'IH1', 'S', 'AH0', 'T'], ['AH1', 'S'], ['W', 'IY1'], ['B', 'OW1', 'TH'], ['S', 'AY1', 'D'], ['S', 'AY1', 'Z'], ['AH0', 'P', 'IY1', 'S'], [], ['AH0', 'N', 'D'], ['DH', 'AH0'], ['S', 'AY1', 'Z'], ['DH', 'AE1', 'T'], ['W', 'IY1'], ['S', 'AY1', 'D'], ['AE1', 'Z'], ['W', 'IY1'], ['S', 'EH1', 'D'], ['G', 'UH2', 'D', 'B', 'AY1'], ['W', 'ER0'], ['DH', 'AH0'], ['S', 'AY1', 'Z'], ['AH1', 'V'], ['DH', 'AH0'], ['L', 'IY1', 'TH'], ['P', 'AH0', 'L', 'IY1', 'S']]","['T000', 'L300', 'P420', 'D252', 'U200', 'T000', 'T230', 'W000', 'S230', 'T000', 'S300', 'T000', 'L300', 'P420', 'D252', 'U200', 'T000', 'T230', 'W300', 'S300', 'A400', 'D000', 'T000', 'L300', 'P420', 'D252', 'U200', 'W000', 'B300', 'S230', 'S200', 'A120', 'A530', 'T000', 'S200', 'T300', 'W000', 'S230', 'A200', 'W000', 'S300', 'G310', 'W600', 'T000', 'S200', 'O100', 'T000', 'L300', 'P420']"
"Ah shucks, six stick shifts stuck shut!","[['AA1'], ['SH', 'AH1', 'K', 'S'], ['S', 'IH1', 'K', 'S'], ['S', 'T', 'IH1', 'K'], ['SH', 'IH1', 'F', 'T', 'S'], ['S', 'T', 'AH1', 'K'], ['SH', 'AH1', 'T']]","['A000', 'S200', 'S200', 'S320', 'S132', 'S320', 'S300']"
"Meter maid Mary married manly Matthew Marcus Mayo, a moody male mailman moving mostly metered mail.","[['M', 'IY1', 'T', 'ER0'], ['M', 'EY1', 'D'], ['M', 'EH1', 'R', 'IY0'], ['M', 'EH1', 'R', 'IY0', 'D'], ['M', 'AE1', 'N', 'L', 'IY0'], ['M', 'AE1', 'TH', 'Y', 'UW0'], ['M', 'AA1', 'R', 'K', 'AH0', 'S'], ['M', 'EY1', 'OW0'], ['AH0'], ['M', 'UW1', 'D', 'IY0'], ['M', 'EY1', 'L'], ['M', 'EY1', 'L', 'M', 'AE2', 'N'], ['M', 'UW1', 'V', 'IH0', 'NG'], ['M', 'OW1', 'S', 'T', 'L', 'IY0'], ['M', 'IY1', 'T', 'ER0', 'D'], ['M', 'EY1', 'L']]","['M360', 'M300', 'M600', 'M630', 'M540', 'M300', 'M622', 'M000', 'A000', 'M300', 'M400', 'M455', 'M152', 'M234', 'M363', 'M400']"
"The king would sing, about a ring that would go ding.","[['DH', 'AH0'], ['K', 'IH1', 'NG'], ['W', 'UH1', 'D'], ['S', 'IH1', 'NG'], ['AH0', 'B', 'AW1', 'T'], ['AH0'], ['R', 'IH1', 'NG'], ['DH', 'AE1', 'T'], ['W', 'UH1', 'D'], ['G', 'OW1'], ['D', 'IH1', 'NG']]","['T000', 'K520', 'W430', 'S520', 'A130', 'A000', 'R520', 'T300', 'W430', 'G000', 'D520']"
"How much dough would Bob Dole dole if Bob Dole could dole dough? Bob Dole would dole as much dough as Bob Dole could dole, if Bob Dole could dole dough.","[['HH', 'AW1'], ['M', 'AH1', 'CH'], ['D', 'OW1'], ['W', 'UH1', 'D'], ['B', 'AA1', 'B'], ['D', 'OW1', 'L'], ['D', 'OW1', 'L'], ['IH1', 'F'], ['B', 'AA1', 'B'], ['D', 'OW1', 'L'], ['K', 'UH1', 'D'], ['D', 'OW1', 'L'], ['D', 'OW1'], ['B', 'AA1', 'B'], ['D', 'OW1', 'L'], ['W', 'UH1', 'D'], ['D', 'OW1', 'L'], ['AE1', 'Z'], ['M', 'AH1', 'CH'], ['D', 'OW1'], ['AE1', 'Z'], ['B', 'AA1', 'B'], ['D', 'OW1', 'L'], ['K', 'UH1', 'D'], ['D', 'OW1', 'L'], ['IH1', 'F'], ['B', 'AA1', 'B'], ['D', 'OW1', 'L'], ['K', 'UH1', 'D'], ['D', 'OW1', 'L'], ['D', 'OW1']]","['H000', 'M200', 'D200', 'W430', 'B100', 'D400', 'D400', 'I100', 'B100', 'D400', 'C430', 'D400', 'D200', 'B100', 'D400', 'W430', 'D400', 'A200', 'M200', 'D200', 'A200', 'B100', 'D400', 'C430', 'D400', 'I100', 'B100', 'D400', 'C430', 'D400', 'D200']"
People pledging plenty of pennies.,"[['P', 'IY1', 'P', 'AH0', 'L'], ['P', 'L', 'EH1', 'JH', 'IH0', 'NG'], ['P', 'L', 'EH1', 'N', 'T', 'IY0'], ['AH1', 'V'], ['P', 'EH1', 'N', 'IY0', 'Z']]","['P140', 'P432', 'P453', 'O100', 'P520']"
"Mares eat oats and does eat oats, but little lambs eat ivy.","[['M', 'EH1', 'R', 'Z'], ['IY1', 'T'], ['OW1', 'T', 'S'], ['AH0', 'N', 'D'], ['D', 'AH1', 'Z'], ['IY1', 'T'], ['OW1', 'T', 'S'], ['B', 'AH1', 'T'], ['L', 'IH1', 'T', 'AH0', 'L'], ['L', 'AE1', 'M', 'Z'], ['IY1', 'T'], ['AY1', 'V', 'IY0']]","['M620', 'E300', 'O320', 'A530', 'D200', 'E300', 'O320', 'B300', 'L340', 'L512', 'E300', 'I100']"
